Community Profile Data by Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Further explanation on Notes sheet,,,,,,Population Characteristics,,,,,,,,,,,,C&I Properties,General Housing Characteristics,,,,,,Units by Year Structure Built*,,,,,,,,,Units by Structure Type,,,,,,,,,Occupied Housing Units Primary Heating Fuels,,,,,,Means of Transportation to Work,,,,,,,,
Municipality,County,Muni and County,Year,Square Miles,Mun Inde,Population ,% White ,% Black ,"% Asian, Pacific Islander, and Hawaiian ",% Other,% Hispanic or Latino Origin*,Households,Median Household Income,Percent of Population in Poverty,Low and Moderate Income*,NJ DCA MRI Score*,NJ DCA MRI Rank*,Commercial & Industrial Properties  (2018 Tax Data),Total Housing Units*,Total Occupied Housing Units,% Occupied housing units ,% Owner-occupied,% Renter-occupied,<75% Occupied*,2010 or later,2000 to 2009,1990 to 1999,1980 to 1989,1970 to 1979,1960 to 1969,1950 to 1959,1940 to 1949,1939 or earlier,"1-unit, detached","1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more,Mobile home,"Boat, RV, etc.",Utility gas,Electricity,"Bottled, tank, or LP gas","Fuel oil, kerosene, etc.",Wood,Other or no heating fuel,Total Workers,"Car, truck, or van",Public transport,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
Lower Alloways Creek township,Salem,"Lower Alloways Creek township, Salem",2020,47.9,276,"1,729",94%,5%,0%,1%,1%,737,"$77,292",5.3%,,25,291,11,767,737,96%,75%,25%,,15,110,43,87,188,66,40,19,199,741,12,7,0,0,0,0,7,0,3%,16%,15%,54%,9%,5%,788,94%,1%,0%,0%,0%,0%,2%,3%
Lower township,Cape May,"Lower township, Cape May",2015,31.0,277,"22,393",95%,2%,1%,3%,6%,"9,552","$54,455",10.5%,Yes,42,74,332,"14,997","9,552",64%,79%,21%,Yes,154,"1,233","1,233","2,380","2,808","2,357","3,193",853,786,"12,307",548,326,63,204,278,791,472,8,49%,29%,12%,7%,1%,1%,"10,515",91%,2%,0%,0%,2%,2%,0%,3%
Lower township,Cape May,"Lower township, Cape May",2020,31.0,277,"21,515",93%,1%,0%,5%,6%,"9,479","$64,632",11.5%,Yes,43,82,332,"14,767","9,479",64%,82%,18%,Yes,291,"1,407","1,619","2,313","2,636","1,862","3,057",721,861,"12,136","1,068",240,138,101,207,366,511,0,63%,22%,7%,5%,1%,2%,"9,859",92%,1%,0%,0%,1%,1%,2%,2%
Lumberton township,Burlington,"Lumberton township, Burlington",2015,13.0,278,"12,486",70%,17%,4%,9%,9%,"4,411","$84,190",7.3%,,26,249,156,"4,673","4,411",94%,72%,28%,,6,"1,046","1,339",619,625,470,383,58,127,"2,599","1,201",66,86,112,436,173,0,0,74%,18%,1%,5%,0%,1%,"6,195",93%,4%,0%,0%,0%,1%,0%,2%
Lumberton township,Burlington,"Lumberton township, Burlington",2020,13.0,278,"12,228",66%,20%,7%,7%,7%,"4,666","$108,810",5.1%,,29,226,156,"5,006","4,666",93%,75%,25%,,21,989,"1,419",880,692,294,319,102,290,"2,902","1,056",49,100,261,307,307,24,0,75%,17%,0%,7%,0%,1%,"6,393",84%,3%,0%,0%,0%,2%,0%,11%
Lyndhurst township,Bergen,"Lyndhurst township, Bergen",2015,5.0,279,"21,318",87%,1%,7%,5%,21%,"8,165","$70,344",8.8%,,29,203,410,"8,933","8,165",91%,55%,45%,,45,781,294,374,593,975,"1,968","1,305","2,598","3,301",234,"3,197",765,248,287,833,68,0,80%,11%,2%,6%,0%,0%,"10,164",80%,12%,0%,0%,0%,5%,2%,1%
Lyndhurst township,Bergen,"Lyndhurst township, Bergen",2020,5.0,279,"22,453",80%,3%,7%,10%,23%,"9,043","$90,181",8.0%,,29,229,410,"9,495","9,043",95%,58%,42%,,718,575,273,524,470,997,"1,873",691,"3,374","3,990",199,"2,919",684,187,302,"1,198",16,0,84%,9%,2%,5%,0%,1%,"12,207",76%,15%,0%,0%,1%,2%,1%,5%
Madison borough,Morris,"Madison borough, Morris",2015,4.3,280,"16,091",88%,4%,5%,4%,8%,"5,499","$110,040",5.7%,,16,454,221,"5,791","5,499",95%,70%,30%,,66,241,238,437,404,794,"1,155",785,"1,671","3,590",379,637,318,371,151,333,12,0,88%,4%,1%,5%,0%,1%,"7,522",75%,11%,0%,0%,0%,7%,1%,6%
Madison borough,Morris,"Madison borough, Morris",2020,4.3,280,"16,647",81%,4%,7%,8%,13%,"5,745","$157,188",4.4%,,14,490,221,"5,999","5,745",96%,65%,36%,,339,270,350,483,259,973,"1,188",473,"1,664","3,876",458,529,224,350,271,291,0,0,90%,6%,2%,2%,0%,0%,"8,377",67%,11%,0%,0%,0%,6%,1%,15%
Magnolia borough,Camden,"Magnolia borough, Camden",2015,1.0,281,"4,314",74%,14%,3%,9%,8%,"1,615","$57,883",12.8%,,36,118,76,"1,744","1,615",93%,67%,33%,,16,35,105,94,240,427,427,123,277,"1,257",24,31,49,122,80,173,8,0,84%,9%,1%,7%,0%,0%,"2,289",85%,10%,1%,0%,0%,1%,0%,3%
Magnolia borough,Camden,"Magnolia borough, Camden",2020,1.0,281,"4,280",66%,17%,9%,8%,13%,"1,764","$66,117",9.2%,Yes,38,121,76,"1,953","1,764",90%,63%,37%,,93,55,52,154,98,536,700,105,160,"1,362",44,28,58,79,58,299,25,0,80%,7%,7%,5%,0%,0%,"2,407",85%,5%,0%,0%,0%,1%,3%,6%
Mahwah township,Bergen,"Mahwah township, Bergen",2015,25.9,282,"26,368",81%,4%,11%,5%,7%,"9,224","$107,336",2.5%,,14,487,244,"9,448","9,224",98%,83%,17%,,49,371,"2,690","2,838",965,634,683,420,798,"4,312","2,414",251,377,612,864,539,79,0,90%,5%,1%,3%,0%,0%,"13,579",81%,6%,0%,0%,0%,4%,1%,7%
Mahwah township,Bergen,"Mahwah township, Bergen",2020,25.9,282,"26,225",80%,3%,11%,5%,13%,"9,788","$101,405",4.4%,,17,426,244,"10,026","9,788",98%,79%,21%,,198,525,"2,725","2,927","1,241",832,586,270,722,"4,694","1,981",639,502,751,905,415,139,0,88%,6%,1%,3%,1%,1%,"12,392",79%,7%,0%,0%,0%,3%,0%,11%
Manalapan township,Monmouth,"Manalapan township, Monmouth",2015,30.9,283,"39,778",88%,2%,8%,2%,5%,"13,493","$107,569",3.8%,,17,434,378,"14,311","13,493",94%,91%,9%,,426,"3,186","2,264","2,976","2,231","2,214",464,213,337,"10,279","1,810",23,141,588,"1,121",280,69,0,79%,14%,1%,5%,1%,1%,"18,186",83%,11%,0%,0%,0%,1%,0%,5%
Manalapan township,Monmouth,"Manalapan township, Monmouth",2020,30.9,283,"39,577",87%,3%,6%,3%,7%,"14,276","$130,663",3.1%,,16,442,378,"14,901","14,276",96%,86%,14%,,736,"2,371","2,638","3,161","2,404","2,378",601,97,515,"9,866","2,217",249,216,579,"1,451",289,34,0,83%,13%,1%,3%,0%,0%,"19,532",80%,10%,0%,0%,0%,1%,0%,8%
Manasquan borough,Monmouth,"Manasquan borough, Monmouth",2015,1.6,284,"5,830",94%,1%,5%,1%,8%,"2,304","$93,200",5.9%,,19,405,216,"3,435","2,304",67%,76%,24%,Yes,20,742,210,236,250,363,679,104,831,"2,809",59,314,164,39,31,19,0,0,90%,7%,0%,3%,0%,0%,"3,024",78%,3%,0%,0%,2%,11%,1%,5%
Manasquan borough,Monmouth,"Manasquan borough, Monmouth",2020,1.6,284,"5,837",95%,0%,0%,5%,4%,"2,451","$116,435",2.7%,,14,499,216,"3,525","2,451",70%,83%,17%,Yes,225,596,173,143,204,254,504,431,995,"3,107",169,114,38,30,9,58,0,0,92%,6%,0%,2%,1%,0%,"3,088",80%,2%,0%,0%,1%,5%,2%,10%
Manchester township,Ocean,"Manchester township, Ocean",2015,82.4,285,"43,251",89%,5%,3%,3%,6%,"22,591","$40,154",8.3%,Yes,35,128,146,"25,665","22,591",88%,87%,13%,,264,"2,963","3,243","5,460","8,888","2,832",972,526,517,"12,927","6,859",680,"1,762",379,274,892,"1,892",0,43%,46%,2%,8%,0%,1%,"13,128",94%,1%,0%,0%,0%,1%,1%,3%
Manchester township,Ocean,"Manchester township, Ocean",2020,82.4,285,"43,649",92%,3%,2%,3%,5%,"23,462","$46,591",7.4%,Yes,38,114,146,"26,176","23,462",90%,85%,15%,,"1,165","2,903","3,007","5,693","8,700","3,063","1,314",155,176,"11,960","6,391","1,461","2,428",525,264,"1,283","1,848",16,45%,46%,1%,6%,0%,2%,"14,291",91%,1%,0%,0%,0%,0%,3%,5%
Mannington township,Salem,"Mannington township, Salem",2015,37.9,286,"1,775",73%,20%,0%,6%,11%,460,"$72,917",12.1%,,36,123,43,550,460,84%,90%,10%,,0,22,27,28,75,87,135,49,127,539,2,6,0,0,0,3,0,0,10%,9%,12%,61%,8%,0%,618,89%,1%,0%,0%,0%,6%,0%,5%
Mannington township,Salem,"Mannington township, Salem",2020,37.9,286,"1,854",71%,23%,2%,5%,10%,472,"$105,278",10.4%,,35,145,43,553,472,85%,92%,8%,,6,32,77,17,48,100,72,39,162,544,0,4,0,0,0,5,0,0,13%,5%,9%,61%,8%,3%,722,84%,0%,0%,0%,0%,3%,2%,11%
Mansfield township,Burlington,"Mansfield township, Burlington",2015,21.9,287,"8,571",78%,8%,11%,3%,3%,"3,402","$92,594",1.6%,,17,445,95,"3,563","3,402",96%,98%,2%,,63,"1,341",764,687,142,29,147,55,335,"3,407",138,0,0,0,0,0,18,0,76%,5%,5%,11%,2%,1%,"3,878",95%,2%,0%,0%,0%,0%,1%,2%
Mansfield township,Burlington,"Mansfield township, Burlington",2020,21.9,287,"8,543",76%,13%,7%,4%,3%,"3,499","$93,036",3.1%,,19,405,95,"3,571","3,499",98%,94%,6%,,86,"1,463",755,486,205,96,112,141,227,"3,374",187,0,0,10,0,0,0,0,76%,11%,2%,10%,1%,1%,"4,122",86%,8%,0%,0%,0%,3%,0%,3%
Mansfield township,Warren,"Mansfield township, Warren",2015,29.7,288,"7,552",83%,4%,6%,8%,10%,"3,203","$59,850",6.6%,,26,244,74,"3,465","3,203",92%,56%,44%,,0,209,427,381,975,599,289,33,552,"1,767",116,116,201,347,862,56,0,0,44%,13%,4%,33%,4%,2%,"3,868",91%,1%,1%,0%,1%,2%,1%,3%
Mansfield township,Warren,"Mansfield township, Warren",2020,29.7,288,"7,382",78%,9%,5%,9%,13%,"2,649","$88,605",4.5%,,28,244,74,"2,939","2,649",90%,59%,41%,,0,106,560,836,331,378,144,293,291,"1,768",188,91,99,261,503,29,0,0,50%,13%,4%,29%,3%,1%,"3,557",91%,2%,0%,0%,0%,1%,3%,3%
Mantoloking borough,Ocean,"Mantoloking borough, Ocean",2015,0.6,289,340,95%,4%,1%,0%,2%,165,"$126,250",2.5%,,10,543,4,487,165,34%,96%,4%,Yes,1,74,42,29,45,64,69,32,131,486,0,0,1,0,0,0,0,0,92%,5%,0%,1%,0%,1%,109,64%,7%,0%,0%,0%,9%,0%,19%
Mantoloking borough,Ocean,"Mantoloking borough, Ocean",2020,0.6,289,474,95%,1%,1%,4%,6%,196,"$146,250",3.1%,,15,473,4,443,196,44%,97%,3%,Yes,85,57,30,38,20,36,57,19,101,439,4,0,0,0,0,0,0,0,92%,4%,1%,0%,0%,3%,194,58%,6%,0%,0%,0%,1%,0%,35%
Mantua township,Gloucester,"Mantua township, Gloucester",2015,16.1,290,"15,113",92%,5%,1%,2%,3%,"5,756","$82,673",5.4%,,24,288,174,"5,941","5,756",97%,90%,10%,,50,640,"2,024",686,638,359,699,323,522,"4,143",911,94,101,230,20,117,325,0,79%,8%,1%,12%,1%,0%,"7,796",93%,2%,0%,0%,0%,1%,0%,4%
Mantua township,Gloucester,"Mantua township, Gloucester",2020,16.1,290,"14,909",92%,4%,2%,2%,3%,"5,419","$99,945",4.4%,,25,285,174,"5,763","5,419",94%,92%,8%,,183,997,"1,751",700,275,394,"1,025",101,337,"4,219",800,77,157,201,24,0,285,0,84%,8%,0%,7%,0%,1%,"7,744",92%,2%,0%,0%,0%,0%,0%,5%
Manville borough,Somerset,"Manville borough, Somerset",2015,2.4,291,"10,454",87%,4%,2%,7%,21%,"3,789","$64,514",9.9%,,35,131,165,"4,478","3,789",85%,65%,35%,,26,18,207,296,326,"1,054","1,241",519,791,"2,754",204,857,205,294,153,11,0,0,89%,5%,1%,5%,1%,0%,"5,164",95%,1%,0%,0%,0%,2%,1%,1%
Manville borough,Somerset,"Manville borough, Somerset",2020,2.4,291,"10,193",81%,9%,3%,7%,17%,"4,007","$72,615",10.7%,,36,137,165,"4,305","4,007",93%,72%,28%,,37,80,157,370,180,815,"1,230",567,869,"3,038",188,638,178,146,117,0,0,0,87%,6%,0%,3%,0%,4%,"5,152",86%,2%,0%,0%,1%,4%,0%,7%
Maple Shade township,Burlington,"Maple Shade township, Burlington",2015,3.8,292,"19,042",78%,8%,7%,7%,9%,"8,253","$57,977",8.9%,,31,183,313,"9,065","8,253",91%,48%,52%,,42,326,415,523,"2,612","1,715","1,903",538,991,"3,845",406,349,755,719,"1,076","1,915",0,0,70%,21%,0%,6%,0%,1%,"10,100",90%,4%,0%,0%,0%,2%,1%,3%
Maple Shade township,Burlington,"Maple Shade township, Burlington",2020,3.8,292,"18,590",71%,11%,8%,9%,11%,"8,332","$64,666",8.2%,Yes,33,175,313,"9,091","8,332",92%,46%,54%,,149,267,734,398,"2,914","1,182","1,993",616,838,"3,759",425,293,"1,184",631,"1,023","1,767",9,0,71%,20%,3%,4%,1%,1%,"10,054",92%,3%,0%,0%,0%,1%,0%,4%
Maplewood township,Essex,"Maplewood township, Essex",2015,3.9,293,"24,303",61%,31%,3%,5%,8%,"7,991","$118,242",5.1%,,18,412,334,"8,741","7,991",91%,77%,23%,,39,287,206,270,440,462,995,893,"5,149","5,836",338,"1,168",508,123,119,649,0,0,81%,6%,1%,12%,0%,0%,"11,761",61%,30%,0%,0%,0%,1%,1%,7%
Maplewood township,Essex,"Maplewood township, Essex",2020,3.9,293,"25,135",53%,35%,3%,8%,8%,"8,127","$149,568",4.4%,,17,434,334,"8,539","8,127",95%,82%,18%,,479,114,266,306,160,735,972,712,"4,795","5,517",300,"1,381",369,36,212,724,0,0,79%,9%,1%,9%,0%,2%,"13,178",56%,26%,1%,0%,0%,2%,3%,12%
Margate City city,Atlantic,"Margate City city, Atlantic",2015,1.6,294,"6,304",96%,2%,1%,1%,2%,"3,285","$67,138",9.2%,,29,220,180,"7,256","3,285",45%,75%,25%,Yes,70,688,277,534,"1,038","1,260","1,594",618,"1,177","4,401",391,617,282,255,303,925,82,0,77%,16%,2%,4%,0%,1%,"3,025",89%,3%,0%,0%,1%,1%,1%,6%
Margate City city,Atlantic,"Margate City city, Atlantic",2020,1.6,294,"5,921",95%,1%,1%,3%,3%,"2,877","$101,354",5.1%,,23,328,180,"6,879","2,877",42%,84%,16%,Yes,406,611,196,572,941,"1,045","1,677",414,"1,017","4,276",338,589,200,111,233,"1,132",0,0,80%,17%,1%,1%,0%,0%,"2,855",85%,1%,0%,0%,0%,3%,1%,10%
Marlboro township,Monmouth,"Marlboro township, Monmouth",2015,30.4,295,"40,603",79%,2%,17%,2%,4%,"12,964","$137,805",1.5%,,11,522,297,"13,485","12,964",96%,94%,6%,,183,"1,914","3,626","3,463","2,045","1,493",354,138,269,"11,228","1,100",193,113,131,263,175,282,0,88%,4%,0%,7%,0%,0%,"19,234",78%,15%,0%,0%,0%,1%,1%,5%
Marlboro township,Monmouth,"Marlboro township, Monmouth",2020,30.4,295,"39,877",72%,2%,23%,3%,5%,"13,174","$157,293",2.2%,,12,521,297,"13,584","13,174",97%,93%,7%,,328,"1,859","3,245","3,604","2,080","1,571",592,68,237,"11,014","1,322",79,235,407,147,167,213,0,92%,3%,2%,3%,0%,0%,"19,615",70%,15%,0%,0%,0%,1%,0%,13%
Matawan borough,Monmouth,"Matawan borough, Monmouth",2015,2.4,296,"8,887",80%,7%,10%,4%,9%,"3,414","$81,420",7.7%,,25,264,157,"3,700","3,414",92%,63%,37%,,84,332,297,408,343,882,640,227,487,"2,099",160,88,203,313,494,343,0,0,75%,14%,1%,9%,0%,1%,"4,721",81%,13%,0%,0%,0%,1%,0%,4%
Matawan borough,Monmouth,"Matawan borough, Monmouth",2020,2.4,296,"8,696",77%,15%,4%,4%,9%,"3,250","$108,247",7.4%,,25,300,157,"3,394","3,250",96%,65%,35%,,183,134,201,395,604,792,422,228,435,"1,938",113,84,317,190,444,308,0,0,78%,14%,1%,6%,0%,1%,"4,765",81%,9%,0%,0%,0%,0%,3%,6%
Maurice River township,Cumberland,"Maurice River township, Cumberland",2015,95.2,297,"7,905",50%,38%,3%,9%,14%,"1,070","$63,333",5.5%,,44,62,103,"1,223","1,070",88%,82%,18%,,21,51,171,153,152,140,110,32,393,"1,003",53,12,19,0,0,0,136,0,33%,6%,14%,35%,12%,1%,"1,367",96%,2%,0%,1%,0%,0%,1%,0%
Maurice River township,Cumberland,"Maurice River township, Cumberland",2020,95.2,297,"7,157",44%,41%,0%,15%,17%,909,"$73,203",13.1%,,50,46,103,"1,152",909,79%,82%,18%,,0,61,113,152,88,131,208,118,281,979,46,63,0,0,0,0,64,0,30%,14%,23%,27%,2%,4%,880,96%,0%,0%,0%,0%,0%,0%,4%
Maywood borough,Bergen,"Maywood borough, Bergen",2015,1.3,298,"9,694",76%,5%,12%,7%,19%,"3,530","$81,339",5.7%,,24,294,128,"3,740","3,530",94%,64%,36%,,5,70,110,104,163,383,"1,219",856,830,"2,376",48,588,290,127,76,235,0,0,86%,4%,1%,8%,0%,1%,"5,049",80%,9%,0%,0%,0%,6%,2%,3%
Maywood borough,Bergen,"Maywood borough, Bergen",2020,1.3,298,"9,626",69%,4%,20%,8%,19%,"3,717","$98,511",5.7%,,26,282,128,"3,893","3,717",96%,69%,31%,,35,47,82,144,244,383,"1,241",772,945,"2,693",106,345,437,15,53,244,0,0,86%,6%,0%,7%,0%,1%,"4,611",80%,10%,0%,0%,0%,3%,1%,7%
Medford Lakes borough,Burlington,"Medford Lakes borough, Burlington",2015,1.3,299,"4,124",98%,1%,0%,2%,1%,"1,569","$100,024",0.6%,,18,424,15,"1,620","1,569",97%,91%,9%,,0,8,29,15,205,479,528,73,283,"1,559",48,13,0,0,0,0,0,0,64%,2%,2%,31%,2%,0%,"2,305",87%,4%,0%,0%,3%,1%,0%,5%
Medford Lakes borough,Burlington,"Medford Lakes borough, Burlington",2020,1.3,299,"3,961",93%,0%,2%,4%,4%,"1,408","$126,154",1.2%,,15,465,15,"1,426","1,408",99%,97%,3%,,7,18,7,19,132,472,439,67,265,"1,417",9,0,0,0,0,0,0,0,75%,4%,0%,21%,1%,0%,"1,997",87%,2%,0%,0%,0%,1%,0%,10%
Medford township,Burlington,"Medford township, Burlington",2015,39.8,300,"23,274",92%,2%,3%,3%,4%,"8,364","$109,015",3.0%,,15,465,356,"8,697","8,364",96%,84%,16%,,196,833,"1,287","1,726","2,782",856,575,134,308,"6,625",934,56,118,454,323,187,0,0,78%,9%,1%,11%,1%,1%,"10,994",87%,3%,0%,0%,1%,1%,0%,7%
Medford township,Burlington,"Medford township, Burlington",2020,39.8,300,"23,346",93%,2%,2%,3%,2%,"8,487","$133,796",3.0%,,15,469,356,"8,843","8,487",96%,87%,13%,,491,914,"1,278","1,960","2,258",932,565,71,374,"6,855","1,051",81,17,428,198,213,0,0,83%,7%,1%,8%,0%,0%,"11,959",84%,4%,0%,0%,0%,1%,0%,11%
Mendham borough,Morris,"Mendham borough, Morris",2015,6.0,301,"5,016",96%,1%,2%,2%,3%,"1,694","$129,853",3.1%,,10,534,92,"1,737","1,694",98%,87%,13%,,27,43,97,226,601,215,220,88,220,"1,322",271,55,63,17,0,9,0,0,79%,12%,0%,9%,0%,0%,"2,110",86%,3%,0%,0%,0%,3%,0%,7%
Mendham borough,Morris,"Mendham borough, Morris",2020,6.0,301,"4,880",93%,1%,2%,5%,4%,"1,736","$171,894",1.8%,,12,520,92,"1,790","1,736",97%,88%,12%,,14,82,124,260,475,291,175,78,291,"1,353",286,50,29,30,42,0,0,0,84%,9%,1%,7%,0%,0%,"2,109",80%,4%,0%,0%,0%,1%,0%,15%
Mendham township,Morris,"Mendham township, Morris",2015,18.0,302,"5,885",91%,1%,4%,4%,6%,"1,927","$170,160",5.9%,,8,550,9,"1,979","1,927",97%,93%,7%,,13,232,378,175,325,248,232,118,258,"1,926",24,0,17,6,0,0,0,6,82%,2%,2%,14%,0%,0%,"2,503",79%,3%,0%,0%,1%,1%,2%,14%
Mendham township,Morris,"Mendham township, Morris",2020,18.0,302,"5,722",89%,1%,4%,6%,4%,"1,969","$197,950",2.0%,,8,553,9,"2,058","1,969",96%,96%,5%,,9,252,365,191,366,300,218,160,197,"1,877",34,55,59,20,13,0,0,0,75%,13%,1%,11%,0%,0%,"2,893",79%,2%,0%,0%,0%,0%,9%,11%
Merchantville borough,Camden,"Merchantville borough, Camden",2015,0.6,303,"3,793",66%,13%,5%,15%,23%,"1,466","$69,833",5.1%,,35,129,79,"1,666","1,466",88%,60%,40%,,0,147,0,33,128,125,235,153,845,801,195,260,207,73,57,73,0,0,76%,15%,1%,8%,0%,1%,"1,810",86%,7%,1%,0%,0%,1%,0%,6%
Merchantville borough,Camden,"Merchantville borough, Camden",2020,0.6,303,"3,702",66%,14%,3%,17%,24%,"1,341","$81,688",15.0%,,33,172,79,"1,491","1,341",90%,64%,36%,,0,123,40,34,140,130,155,70,799,662,248,236,13,42,88,202,0,0,70%,22%,0%,9%,0%,0%,"1,850",79%,10%,0%,0%,0%,1%,1%,9%
Metuchen borough,Middlesex,"Metuchen borough, Middlesex",2015,2.8,304,"13,765",75%,5%,15%,4%,8%,"5,047","$112,971",2.8%,,15,466,424,"5,191","5,047",97%,77%,23%,,10,535,270,312,403,620,"1,362",546,"1,133","3,516",541,271,175,265,174,249,0,0,84%,3%,0%,12%,0%,0%,"6,983",71%,19%,0%,0%,0%,3%,0%,6%
Metuchen borough,Middlesex,"Metuchen borough, Middlesex",2020,2.8,304,"14,289",68%,6%,16%,10%,10%,"5,158","$136,067",3.3%,,15,463,424,"5,380","5,158",96%,78%,23%,,429,331,206,295,459,540,"1,457",582,"1,081","3,596",506,215,272,118,144,529,0,0,82%,8%,2%,7%,0%,1%,"7,504",64%,22%,1%,0%,0%,2%,1%,10%
Middle township,Cape May,"Middle township, Cape May",2015,82.7,305,"18,813",82%,13%,1%,4%,6%,"6,993","$62,887",8.2%,,40,90,543,"9,448","6,993",74%,80%,20%,Yes,56,"1,857",989,"1,725","1,228",959,"1,211",417,"1,006","6,739",573,484,72,126,5,197,"1,252",0,55%,17%,17%,9%,1%,1%,"8,191",91%,1%,0%,0%,2%,2%,0%,4%
Middle township,Cape May,"Middle township, Cape May",2020,82.7,305,"18,400",83%,11%,1%,5%,12%,"7,605","$71,321",11.8%,,45,63,543,"9,765","7,605",78%,78%,22%,,692,"1,668","1,369","1,401","1,435","1,104","1,160",272,664,"7,134",883,403,43,86,46,64,"1,106",0,61%,14%,16%,6%,1%,1%,"8,386",92%,2%,0%,0%,0%,1%,2%,3%
Middlesex borough,Middlesex,"Middlesex borough, Middlesex",2015,3.5,306,"13,831",80%,7%,7%,5%,15%,"4,882","$79,327",2.5%,,23,325,347,"5,101","4,882",96%,76%,24%,,5,69,208,415,561,"1,286","1,344",522,691,"3,754",331,254,131,44,101,469,17,0,87%,7%,1%,5%,0%,1%,"7,286",89%,4%,0%,0%,1%,2%,0%,4%
Middlesex borough,Middlesex,"Middlesex borough, Middlesex",2020,3.5,306,"13,606",64%,8%,6%,21%,30%,"4,909","$84,216",10.1%,,30,207,347,"5,144","4,909",95%,75%,25%,,390,93,306,453,446,"1,163","1,627",238,428,"3,748",535,116,240,35,135,335,0,0,82%,14%,0%,2%,0%,1%,"6,960",88%,4%,0%,0%,0%,3%,1%,4%
Middletown township,Monmouth,"Middletown township, Monmouth",2015,43.5,307,"66,291",93%,1%,3%,2%,6%,"23,674","$102,474",4.5%,,19,406,589,"24,831","23,674",95%,85%,15%,,188,"1,602","1,264","3,451","4,692","3,783","5,949","1,005","2,897","19,937","1,710",338,338,522,799,"1,153",34,0,82%,12%,1%,5%,0%,0%,"31,807",82%,12%,0%,0%,0%,1%,1%,5%
Middletown township,Monmouth,"Middletown township, Monmouth",2020,43.5,307,"65,316",91%,2%,4%,4%,7%,"24,147","$119,013",3.7%,,19,409,589,"25,107","24,147",96%,85%,15%,,876,"1,454","1,243","4,043","4,639","3,460","5,226","1,059","3,107","19,638","1,837",444,601,445,901,"1,171",70,0,83%,12%,1%,4%,0%,0%,"32,931",79%,12%,0%,0%,0%,1%,1%,8%
Midland Park borough,Bergen,"Midland Park borough, Bergen",2015,1.6,308,"7,269",94%,0%,3%,3%,10%,"2,786","$89,130",5.5%,,20,385,174,"2,937","2,786",95%,65%,35%,,0,155,36,87,195,280,961,319,904,"1,852",16,563,67,35,17,387,0,0,83%,6%,1%,10%,0%,1%,"3,723",81%,6%,0%,0%,0%,5%,2%,6%
Midland Park borough,Bergen,"Midland Park borough, Bergen",2020,1.6,308,"7,230",91%,1%,2%,6%,9%,"2,885","$121,607",1.5%,,16,446,174,"2,921","2,885",99%,65%,35%,,0,286,215,124,127,285,684,258,942,"1,881",129,252,248,0,63,348,0,0,81%,12%,1%,6%,0%,0%,"3,651",80%,7%,0%,0%,0%,3%,2%,8%
Milford borough,Hunterdon,"Milford borough, Hunterdon",2015,1.3,309,"1,123",97%,1%,1%,2%,8%,459,"$78,681",5.3%,,24,297,44,526,459,87%,65%,35%,,0,21,22,18,122,69,65,40,169,336,44,71,46,20,5,4,0,0,3%,34%,9%,50%,3%,1%,601,89%,0%,0%,0%,0%,3%,0%,8%
Milford borough,Hunterdon,"Milford borough, Hunterdon",2020,1.3,309,"1,285",99%,0%,1%,0%,1%,542,"$93,929",3.8%,,28,237,44,585,542,93%,72%,28%,,3,22,22,21,87,71,89,30,240,428,41,28,44,33,6,5,0,0,2%,26%,8%,58%,4%,1%,684,89%,2%,0%,1%,0%,2%,0%,6%
Millburn township,Essex,"Millburn township, Essex",2015,9.9,310,"20,183",77%,3%,18%,2%,5%,"6,520","$184,783",2.7%,,5,563,289,"6,859","6,520",95%,80%,20%,,68,251,91,241,516,947,"1,463",589,"2,693","5,487",45,383,277,215,78,364,10,0,88%,7%,1%,4%,0%,1%,"8,807",62%,27%,0%,0%,0%,2%,0%,9%
Millburn township,Essex,"Millburn township, Essex",2020,9.9,310,"20,174",62%,2%,29%,8%,6%,"6,730","250,000+",3.5%,,5,562,289,"7,015","6,730",96%,82%,18%,,288,253,127,185,232,"1,058","1,404",795,"2,673","5,709",147,456,248,82,96,277,0,0,87%,7%,1%,4%,0%,0%,"9,076",46%,31%,0%,0%,0%,1%,0%,21%
Millstone borough,Somerset,"Millstone borough, Somerset",2015,0.7,311,487,91%,1%,4%,4%,6%,158,"$103,000",2.7%,,22,338,10,172,158,92%,87%,13%,,0,0,11,0,6,50,27,9,69,153,0,16,3,0,0,0,0,0,89%,1%,1%,9%,0%,0%,235,88%,0%,0%,0%,0%,2%,1%,9%
Millstone borough,Somerset,"Millstone borough, Somerset",2020,0.7,311,573,71%,1%,1%,27%,26%,187,"$164,063",3.5%,,17,424,10,200,187,94%,94%,6%,,1,0,6,4,5,55,76,9,44,186,4,8,2,0,0,0,0,0,93%,1%,0%,5%,0%,1%,323,92%,2%,0%,1%,0%,1%,0%,5%
