Community Profile Data by Municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* Further explanation on Notes sheet,,,,,,Population Characteristics,,,,,,,,,,,,C&I Properties,General Housing Characteristics,,,,,,Units by Year Structure Built*,,,,,,,,,Units by Structure Type,,,,,,,,,Occupied Housing Units Primary Heating Fuels,,,,,,Means of Transportation to Work,,,,,,,,
Municipality,County,Muni and County,Year,Square Miles,Mun Inde,Population ,% White ,% Black ,"% Asian, Pacific Islander, and Hawaiian ",% Other,% Hispanic or Latino Origin*,Households,Median Household Income,Percent of Population in Poverty,Low and Moderate Income*,NJ DCA MRI Score*,NJ DCA MRI Rank*,Commercial & Industrial Properties  (2018 Tax Data),Total Housing Units*,Total Occupied Housing Units,% Occupied housing units ,% Owner-occupied,% Renter-occupied,<75% Occupied*,2010 or later,2000 to 2009,1990 to 1999,1980 to 1989,1970 to 1979,1960 to 1969,1950 to 1959,1940 to 1949,1939 or earlier,"1-unit, detached","1-unit, attached",2 units,3 or 4 units,5 to 9 units,10 to 19 units,20 or more,Mobile home,"Boat, RV, etc.",Utility gas,Electricity,"Bottled, tank, or LP gas","Fuel oil, kerosene, etc.",Wood,Other or no heating fuel,Total Workers,"Car, truck, or van",Public transport,Taxicab,Motorcycle,Bicycle,Walked,Other means,Worked at home
Atlantic City city,Atlantic,"Atlantic City city, Atlantic",2015,15.9,14,"39,547",36%,39%,17%,9%,26%,"15,633","$25,737",36.9%,Yes,92,3,"1,483","19,934","15,633",78%,27%,73%,,137,"1,030","1,337","2,889","2,361","2,867","2,551","1,545","5,217","3,533","2,357","1,852","1,872","2,012","1,587","6,680",41,0,68%,25%,1%,4%,0%,2%,"14,928",50%,27%,1%,0%,2%,17%,2%,1%
Atlantic City city,Atlantic,"Atlantic City city, Atlantic",2020,15.9,14,"37,793",26%,32%,16%,26%,33%,"15,775","$29,526",35.2%,Yes,90,3,"1,483","20,664","15,775",76%,28%,72%,,413,962,"1,447","2,764","1,715","2,941","1,997",977,"7,448","3,493","3,620","2,079","1,623","1,636","1,405","6,753",55,0,68%,26%,1%,3%,0%,2%,"14,572",54%,19%,0%,0%,2%,18%,4%,3%
Atlantic Highlands borough,Monmouth,"Atlantic Highlands borough, Monmouth",2015,1.2,15,"4,346",91%,3%,2%,3%,4%,"1,853","$88,024",6.4%,,21,356,94,"1,999","1,853",93%,79%,21%,,33,79,158,205,159,292,177,98,798,"1,497",45,50,81,18,65,243,0,0,80%,9%,2%,10%,0%,0%,"2,233",74%,9%,0%,0%,1%,6%,1%,9%
Atlantic Highlands borough,Monmouth,"Atlantic Highlands borough, Monmouth",2020,1.2,15,"4,312",96%,0%,1%,3%,7%,"1,829","$103,712",3.6%,,20,386,94,"1,948","1,829",94%,74%,26%,,40,185,152,179,127,284,279,118,584,"1,355",37,147,58,22,53,276,0,0,83%,10%,0%,4%,0%,2%,"2,295",72%,16%,0%,0%,0%,2%,0%,10%
Audubon borough,Camden,"Audubon borough, Camden",2015,1.5,16,"8,772",98%,1%,0%,1%,2%,"3,530","$79,000",5.6%,,26,255,157,"3,722","3,530",95%,75%,25%,,0,65,70,186,98,289,741,428,"1,845","2,603",167,449,128,25,26,324,0,0,77%,9%,0%,12%,0%,1%,"4,764",90%,5%,0%,0%,0%,2%,0%,3%
Audubon borough,Camden,"Audubon borough, Camden",2020,1.5,16,"8,656",92%,5%,0%,2%,3%,"3,304","$90,335",2.3%,,23,320,157,"3,474","3,304",95%,70%,30%,,22,49,30,184,184,301,614,356,"1,734","2,409",206,345,124,27,0,363,0,0,79%,9%,0%,9%,0%,3%,"4,762",79%,6%,0%,0%,0%,1%,0%,13%
Audubon Park borough,Camden,"Audubon Park borough, Camden",2015,0.2,17,"1,010",98%,0%,0%,2%,1%,526,"$44,722",8.6%,Yes,41,76,0,537,526,98%,17%,83%,,0,2,8,0,2,8,17,449,51,30,480,16,9,2,0,0,0,0,94%,5%,0%,0%,0%,1%,461,87%,7%,0%,0%,2%,0%,1%,4%
Audubon Park borough,Camden,"Audubon Park borough, Camden",2020,0.2,17,969,99%,0%,0%,1%,1%,540,"$46,855",8.8%,Yes,40,93,0,550,540,98%,12%,88%,,0,0,0,0,10,6,52,449,33,3,515,22,10,0,0,0,0,0,93%,5%,1%,1%,0%,0%,525,97%,2%,0%,0%,0%,1%,0%,0%
Avalon borough,Cape May,"Avalon borough, Cape May",2015,5.0,18,"1,596",99%,0%,1%,0%,1%,807,"$83,523",4.6%,,19,397,158,"5,379",807,15%,91%,9%,Yes,42,"1,128",643,968,"1,149",651,382,101,315,"3,737",934,267,129,83,45,174,10,0,77%,22%,1%,1%,0%,0%,671,79%,1%,0%,0%,4%,5%,1%,9%
Avalon borough,Cape May,"Avalon borough, Cape May",2020,5.0,18,"1,456",99%,0%,0%,0%,1%,744,"$120,000",3.6%,,15,472,158,"5,393",744,14%,96%,4%,Yes,376,"1,216",481,"1,222",946,521,220,98,313,"3,860","1,190",89,59,76,41,70,8,0,80%,19%,0%,0%,0%,1%,511,68%,1%,0%,0%,5%,4%,0%,22%
Avon-by-the-Sea borough,Monmouth,"Avon-by-the-Sea borough, Monmouth",2015,0.5,19,"1,809",97%,0%,0%,3%,3%,909,"$71,513",3.3%,,18,420,50,"1,318",909,69%,62%,38%,Yes,6,119,24,24,99,111,212,130,593,906,26,108,33,10,72,163,0,0,90%,5%,1%,3%,0%,0%,863,76%,7%,2%,0%,4%,7%,0%,4%
Avon-by-the-Sea borough,Monmouth,"Avon-by-the-Sea borough, Monmouth",2020,0.5,19,"1,731",94%,1%,1%,4%,8%,876,"$89,615",8.9%,,21,365,50,"1,204",876,73%,65%,35%,Yes,57,122,63,74,105,76,125,52,530,815,48,48,53,18,90,132,0,0,91%,6%,1%,2%,0%,0%,789,75%,6%,1%,0%,1%,6%,1%,10%
Barnegat Light borough,Ocean,"Barnegat Light borough, Ocean",2015,1.3,20,589,95%,0%,1%,4%,3%,284,"$77,500",4.0%,,18,413,41,"1,261",284,23%,88%,12%,Yes,0,177,141,198,156,310,177,43,59,"1,004",33,181,0,5,0,38,0,0,76%,17%,0%,6%,0%,1%,224,71%,0%,0%,0%,2%,0%,0%,27%
Barnegat Light borough,Ocean,"Barnegat Light borough, Ocean",2020,1.3,20,461,86%,0%,13%,1%,1%,220,"$75,833",4.2%,,16,450,41,"1,252",220,18%,93%,7%,Yes,49,155,136,232,95,211,220,76,78,"1,132",7,55,11,11,6,30,0,0,85%,14%,0%,1%,0%,0%,147,74%,0%,0%,0%,0%,4%,0%,22%
Barnegat township,Ocean,"Barnegat township, Ocean",2015,40.3,21,"21,617",92%,3%,1%,4%,8%,"8,313","$65,405",10.5%,,31,175,228,"9,373","8,313",89%,87%,13%,,306,"3,209","1,178","1,508","2,369",345,174,135,149,"7,855",508,45,153,303,80,36,393,0,79%,8%,2%,11%,0%,1%,"8,550",93%,3%,0%,0%,1%,0%,0%,3%
Barnegat township,Ocean,"Barnegat township, Ocean",2020,40.3,21,"23,155",90%,7%,1%,3%,5%,"9,075","$77,428",7.9%,,31,198,228,"10,340","9,075",88%,88%,12%,,"1,276","3,128","1,657","1,482","2,037",297,82,26,355,"8,690",542,141,142,165,61,104,495,0,84%,8%,1%,7%,0%,1%,"9,548",92%,1%,0%,0%,2%,0%,0%,4%
