Municipality,County,Municipality,Year,Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms),Mun_inde
Bloomsbury borough,Hunterdon,"Bloomsbury borough, Hunterdon County",2020,JCPL,3630511,2982059,583631,35844,7232045,ETG,107681,37759,NULL,NULL,145440,45
Bloomsbury borough,Hunterdon,"Bloomsbury borough, Hunterdon County",2021,JCPL,3837278,2824348,666840,35844,7364310,ETG,146786,50883,NULL,NULL,197669,45
Bogota borough,Bergen,"Bogota borough, Bergen County",2015,PSEG,20180719,8922574,1057884,348250,30509427,PSEG,2409820,848443,25927,NULL,3284190,46
Bogota borough,Bergen,"Bogota borough, Bergen County",2016,PSEG,20144532,8409896,1004132,385768,29944328,PSEG,2098439,722122,22973,NULL,2843533,46
Bogota borough,Bergen,"Bogota borough, Bergen County",2017,PSEG,19428604,7966570,996318,350193,28741685,PSEG,2179608,768962,26036,NULL,2974606,46
Bogota borough,Bergen,"Bogota borough, Bergen County",2018,PSEG,20657289,8472612,748746,371396,30250043,PSEG,2465260,862326,36828,NULL,3364414,46
Bogota borough,Bergen,"Bogota borough, Bergen County",2019,PSEG,19410199,8522529,647912,398911,28979551,PSEG,2343394,832038,38133,NULL,3213565,46
Bogota borough,Bergen,"Bogota borough, Bergen County",2020,PSEG,20403358,7831207,587344,393802,29215711,PSEG,2162510,696250,33628,NULL,2892388,46
Bogota borough,Bergen,"Bogota borough, Bergen County",2021,PSEG,21358167,8014780,552051,390878,30315876,PSEG,2370541,754278,43732,NULL,3168551,46
Boonton Town,Morris,"Boonton Town, Morris County",2015,JCPL,24803841,25836205,2438653,264942,53343641,NJNG,2842916,1675125,NULL,NULL,4518041,47
Boonton Town,Morris,"Boonton Town, Morris County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,NJNG,2367961,1396262,NULL,NULL,3764223,47
Boonton Town,Morris,"Boonton Town, Morris County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,NJNG,2600837,1519890,NULL,NULL,4120727,47
Boonton Town,Morris,"Boonton Town, Morris County",2018,JCPL,25289223,25299540,1778244,269295,52636302,NJNG,2997264,1736815,NULL,NULL,4734079,47
Boonton Town,Morris,"Boonton Town, Morris County",2019,JCPL,25310227,25245638,1650969,269460,52476294,NJNG,2874265,1593133,NULL,NULL,4467398,47
Boonton Town,Morris,"Boonton Town, Morris County",2020,JCPL,26167405,22873547,1533562,269460,50843974,NJNG,2701248,1393925,NULL,NULL,4095173,47
Boonton Town,Morris,"Boonton Town, Morris County",2021,JCPL,26994673,22869026,1402761,269460,51535920,NJNG,2763048,1513159,NULL,NULL,4276207,47
Boonton township,Morris,"Boonton township, Morris County",2015,JCPL,22104496,13487551,12477969,756,48070772,NJNG,752334,259035,NULL,NULL,1011369,48
Boonton township,Morris,"Boonton township, Morris County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,NJNG,641653,306667,NULL,NULL,948320,48
Boonton township,Morris,"Boonton township, Morris County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,NJNG,705417,320268,NULL,NULL,1025685,48
Boonton township,Morris,"Boonton township, Morris County",2018,JCPL,22063400,12490135,10792427,756,45346718,NJNG,815030,364852,NULL,NULL,1179882,48
Boonton township,Morris,"Boonton township, Morris County",2019,JCPL,21382760,12089458,9832718,756,43305692,NJNG,759962,327492,NULL,NULL,1087454,48
Boonton township,Morris,"Boonton township, Morris County",2020,JCPL,22190886,12952997,10105493,756,45250132,NJNG,734842,386912,NULL,NULL,1121754,48
Boonton township,Morris,"Boonton township, Morris County",2021,JCPL,22668193,20272896,13886130,756,56827975,NJNG,752984,658026,NULL,NULL,1411010,48
Bordentown city,Burlington,"Bordentown city, Burlington County",2015,PSEG,12517500,11086432,2125467,240696,25970095,PSEG,1161512,718726,16872,NULL,1897111,49
Bordentown city,Burlington,"Bordentown city, Burlington County",2016,PSEG,12547398,11166067,2102283,238047,26053795,PSEG,1053667,722023,14665,NULL,1790354,49
Bordentown city,Burlington,"Bordentown city, Burlington County",2017,PSEG,11885073,10976598,2140773,233001,25235445,PSEG,1027940,540760,11191,NULL,1579891,49
Bordentown city,Burlington,"Bordentown city, Burlington County",2018,PSEG,12712224,9504271,1002273,241023,23459791,PSEG,1216327,693108,12422,NULL,1921856,49
Bordentown city,Burlington,"Bordentown city, Burlington County",2019,PSEG,12152809,7812854,90096,239926,20295685,PSEG,1156337,607332,8270,NULL,1771938,49
Bordentown city,Burlington,"Bordentown city, Burlington County",2020,PSEG,12673725,7533867,64421,243852,20515865,PSEG,1027156,520906,6300,NULL,1554361,49
Bordentown city,Burlington,"Bordentown city, Burlington County",2021,PSEG,12744764,7610986,76589,241894,20674233,PSEG,1110628,548476,7949,NULL,1667053,49
Bordentown township,Burlington,"Bordentown township, Burlington County",2015,PSEG,37986679,43969598,2868489,941153,85765919,PSEG,3158929,1944628,144967,NULL,5248524,50
Bordentown township,Burlington,"Bordentown township, Burlington County",2016,PSEG,38089578,53654132,2963085,816573,95523368,PSEG,2782754,1996992,111210,NULL,4890955,50
Bordentown township,Burlington,"Bordentown township, Burlington County",2017,PSEG,35487326,52402531,3145220,834532,91869609,PSEG,2798078,2053698,94265,NULL,4946041,50
Bordentown township,Burlington,"Bordentown township, Burlington County",2018,PSEG,37760160,58033229,4275954,837839,100907182,PSEG,3219491,2367473,134089,NULL,5721053,50
Bordentown township,Burlington,"Bordentown township, Burlington County",2019,PSEG,35911148,56621415,4445875,736840,97715278,PSEG,3032277,2296130,130488,NULL,5458895,50
Bordentown township,Burlington,"Bordentown township, Burlington County",2020,PSEG,36806227,53095771,3865890,787766,94555654,PSEG,2744360,2139865,98554,NULL,4982779,50
Bordentown township,Burlington,"Bordentown township, Burlington County",2021,PSEG,36703844,59253058,3506969,783415,100247286,PSEG,2911453,2395786,97027,NULL,5404266,50
Bound Brook borough,Somerset,"Bound Brook borough, Somerset County",2015,PSEG,26391723,23154202,2676999,742357,52965281,PSEG,2955226,1397690,99797,NULL,4452713,51
Bound Brook borough,Somerset,"Bound Brook borough, Somerset County",2016,PSEG,26628374,23500302,2484117,833537,53446330,PSEG,2477177,1177507,86242,NULL,3740927,51
Bound Brook borough,Somerset,"Bound Brook borough, Somerset County",2017,PSEG,25856673,22538698,2465893,757380,51618644,PSEG,2641508,1236154,81847,NULL,3959509,51
Bound Brook borough,Somerset,"Bound Brook borough, Somerset County",2018,PSEG,27944885,23765420,2455332,804508,54970145,PSEG,3020504,1430687,94162,NULL,4545353,51
Bound Brook borough,Somerset,"Bound Brook borough, Somerset County",2019,PSEG,26861889,23356670,2364234,798765,53381558,PSEG,2880497,1397652,93661,NULL,4371810,51
Bound Brook borough,Somerset,"Bound Brook borough, Somerset County",2020,PSEG,27469123,21543167,2321395,811897,52145582,PSEG,2611304,1208784,76337,NULL,3896426,51
Bound Brook borough,Somerset,"Bound Brook borough, Somerset County",2021,PSEG,28299191,22146803,2240979,825196,53512169,PSEG,2753801,1279261,75704,NULL,4108765,51
Bradley Beach borough,Monmouth,"Bradley Beach borough, Monmouth County",2015,JCPL,16361855,8289914,121755,261927,25035451,NJNG,1670301,544253,NULL,NULL,2214554,52
Bradley Beach borough,Monmouth,"Bradley Beach borough, Monmouth County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,NJNG,1415602,473216,NULL,NULL,1888818,52
Bradley Beach borough,Monmouth,"Bradley Beach borough, Monmouth County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,NJNG,1472927,479903,NULL,NULL,1952830,52
Bradley Beach borough,Monmouth,"Bradley Beach borough, Monmouth County",2018,JCPL,16521427,7483028,106957,260442,24371854,NJNG,1702339,522939,NULL,NULL,2225278,52
Bradley Beach borough,Monmouth,"Bradley Beach borough, Monmouth County",2019,JCPL,16061520,7791520,98449,65058,24016547,NJNG,1577333,487151,NULL,NULL,2064484,52
Bradley Beach borough,Monmouth,"Bradley Beach borough, Monmouth County",2020,JCPL,16889442,7398599,123882,NULL,24411923,NJNG,1455566,450377,NULL,NULL,1905943,52
Bradley Beach borough,Monmouth,"Bradley Beach borough, Monmouth County",2021,JCPL,17284653,7539339,105848,NULL,24929840,NJNG,1551611,494217,NULL,NULL,2045828,52
Branchburg township,Somerset,"Branchburg township, Somerset County",2015,PSEG/JCPL,59621102,207647459,83145654,106873,350521088,PSEG,5537441,7772243,991102,NULL,14300786,53
Branchburg township,Somerset,"Branchburg township, Somerset County",2016,PSEG/JCPL,449183,814423,378717,29631,1671954,PSEG,5095537,7229496,939925,NULL,13264957,53
Branchburg township,Somerset,"Branchburg township, Somerset County",2017,PSEG/JCPL,428716,810342,428582,27541,1695181,PSEG,5221666,7582190,1105986,NULL,13909842,53
Branchburg township,Somerset,"Branchburg township, Somerset County",2018,PSEG/JCPL,59105086,206499997,82504641,108958,348218682,PSEG,5710339,7306600,1609725,NULL,14626664,53
Branchburg township,Somerset,"Branchburg township, Somerset County",2019,PSEG/JCPL,57165179,206990125,65083921,108104,329347329,PSEG,5564340,7296404,948759,NULL,13809503,53
Branchburg township,Somerset,"Branchburg township, Somerset County",2020,PSEG/JCPL,58816849,188453840,58167228,108283,305546200,PSEG,5138791,6879447,1052071,NULL,13070310,53
Branchburg township,Somerset,"Branchburg township, Somerset County",2021,PSEG/JCPL,60378352,198469721,57186175,108224,316142472,PSEG,5350226,8014425,959905,NULL,14324556,53
Branchville borough,Sussex,"Branchville borough, Sussex County",2015,JCPL,3646803,11156871,522,39684,14843880,ETG,NULL,NULL,NULL,NULL,0,54
Branchville borough,Sussex,"Branchville borough, Sussex County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,NULL,NULL,NULL,NULL,0,54
Branchville borough,Sussex,"Branchville borough, Sussex County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,NULL,NULL,NULL,NULL,0,54
Branchville borough,Sussex,"Branchville borough, Sussex County",2018,JCPL,4414146,9870738,487,39684,14325055,ETG,NULL,NULL,NULL,NULL,0,54
Branchville borough,Sussex,"Branchville borough, Sussex County",2019,JCPL,3996486,9502708,515,39684,13539393,ETG,NULL,NULL,NULL,NULL,0,54
Branchville borough,Sussex,"Branchville borough, Sussex County",2020,JCPL,4019116,5055028,627,39684,9114455,ETG,NULL,NULL,NULL,NULL,0,54
Branchville borough,Sussex,"Branchville borough, Sussex County",2021,JCPL,4074184,4689213,623,39684,8803704,ETG,NULL,NULL,NULL,NULL,0,54
Brick township,Ocean,"Brick township, Ocean County",2015,JCPL,305110883,179186350,15545034,3345550,503187817,NJNG,21255519,5226397,NULL,NULL,26481916,55
Brick township,Ocean,"Brick township, Ocean County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,NJNG,19086441,4744815,NULL,NULL,23831256,55
Brick township,Ocean,"Brick township, Ocean County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,NJNG,19314076,4677783,NULL,NULL,23991859,55
Brick township,Ocean,"Brick township, Ocean County",2018,JCPL,303174218,160516022,15665295,3313455,482668990,NJNG,22538247,5477382,NULL,NULL,28015629,55
Brick township,Ocean,"Brick township, Ocean County",2019,JCPL,291950296,157935646,17066258,3513563,470465763,NJNG,21534973,5332677,NULL,NULL,26867650,55
Brick township,Ocean,"Brick township, Ocean County",2020,JCPL,295496332,153009746,16683530,3527546,468717154,NJNG,19402922,4536776,NULL,NULL,23939698,55
Brick township,Ocean,"Brick township, Ocean County",2021,JCPL,303276702,150491584,18196777,3031443,474996506,NJNG,20725854,5706059,NULL,NULL,26431913,55
Bridgeton city,Cumberland,"Bridgeton city, Cumberland County",2015,ACE,127618518,172327944,81813054,993986,382753502,SJG,3128259,6995471,51015934,NULL,61139664,56
Bridgeton city,Cumberland,"Bridgeton city, Cumberland County",2016,ACE,119932240,166303040,81187851,994414,368417545,SJG,2744149,6362385,61854078,NULL,70960612,56
Bridgeton city,Cumberland,"Bridgeton city, Cumberland County",2017,ACE,113143421,164568520,80637981,999062,359348984,SJG,2741101,6408841,65148880,NULL,74298823,56
Bridgeton city,Cumberland,"Bridgeton city, Cumberland County",2018,ACE,118147045,165207337,79400754,1000459,363755595,SJG,3342269,7264585,74881920,NULL,85488774,56
Bridgeton city,Cumberland,"Bridgeton city, Cumberland County",2019,ACE,112214602,160608192,70826257,1007192,344656243,SJG,3143264,7090754,43744796,NULL,53978815,56
Bridgeton city,Cumberland,"Bridgeton city, Cumberland County",2020,ACE,114219742,151053392,71362564,1010615,337646313,SJG,2991417,6634897,36936939,NULL,46563253,56
Bridgeton city,Cumberland,"Bridgeton city, Cumberland County",2021,ACE,116902601,149472228,73333858,1013710,340722397,SJG,3309830,5845321,35633156,NULL,44788306,56
Bridgewater township,Somerset,"Bridgewater township, Somerset County",2015,PSEG/JCPL,156222979,376817357,62613127,2846266,598499729,PSEG,16523673,14119452,6398519,NULL,37041644,57
Bridgewater township,Somerset,"Bridgewater township, Somerset County",2016,PSEG/JCPL,122738149,338525054,57315622,2637391,521216216,PSEG,14579021,11644116,6024705,NULL,32247842,57
Bridgewater township,Somerset,"Bridgewater township, Somerset County",2017,PSEG/JCPL,116811217,335357026,59143595,2685900,513997738,PSEG,14881580,13006544,6775461,NULL,34663585,57
Bridgewater township,Somerset,"Bridgewater township, Somerset County",2018,PSEG/JCPL,155370651,384742605,64374311,2931337,607418904,PSEG,17265139,13022631,7679968,NULL,37967738,57
Bridgewater township,Somerset,"Bridgewater township, Somerset County",2019,PSEG/JCPL,146732027,368204987,66880294,2981304,584798612,PSEG,16116492,12383160,10179152,NULL,38678804,57
Bridgewater township,Somerset,"Bridgewater township, Somerset County",2020,PSEG/JCPL,152105517,345349011,60917782,3161751,561534061,PSEG,14642528,11488388,7925928,NULL,34056843,57
Bridgewater township,Somerset,"Bridgewater township, Somerset County",2021,PSEG/JCPL,152914641,335188386,59350964,2938323,550392314,PSEG,15313490,11470181,8203341,NULL,34987012,57
Brielle borough,Monmouth,"Brielle borough, Monmouth County",2015,JCPL,26111939,8849732,NULL,183072,35144743,NJNG,2259372,439725,NULL,NULL,2699097,58
Brielle borough,Monmouth,"Brielle borough, Monmouth County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,NJNG,1894088,372620,NULL,NULL,2266708,58
Brielle borough,Monmouth,"Brielle borough, Monmouth County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,NJNG,2029990,406603,NULL,NULL,2436593,58
Brielle borough,Monmouth,"Brielle borough, Monmouth County",2018,JCPL,26433811,8708666,NULL,181326,35323803,NJNG,2287017,428997,NULL,NULL,2716014,58
Brielle borough,Monmouth,"Brielle borough, Monmouth County",2019,JCPL,25844802,8048557,NULL,180318,34073677,NJNG,2207201,408772,NULL,NULL,2615973,58
Brielle borough,Monmouth,"Brielle borough, Monmouth County",2020,JCPL,26558818,6791371,NULL,179898,33530087,NJNG,21859132,5735122,NULL,NULL,27594254,58
Brielle borough,Monmouth,"Brielle borough, Monmouth County",2021,JCPL,27143308,7089223,NULL,179856,34412387,NJNG,21864724,5933282,NULL,NULL,27798006,58
Brigantine city,Atlantic,"Brigantine city, Atlantic County",2015,ACE,61141153,20647653,9191,620955,82418952,SJG,4277053,2575920,NULL,NULL,6852974,59
Brigantine city,Atlantic,"Brigantine city, Atlantic County",2016,ACE,57961074,19111200,8321,620923,77701518,SJG,3625538,2404129,NULL,NULL,6029667,59
Brigantine city,Atlantic,"Brigantine city, Atlantic County",2017,ACE,53773877,18710730,8207,620771,73113585,SJG,3556093,2293150,NULL,NULL,5849243,59
Brigantine city,Atlantic,"Brigantine city, Atlantic County",2018,ACE,60330307,19165909,8608,618969,80123793,SJG,4461349,2404660,NULL,NULL,6866009,59
Brigantine city,Atlantic,"Brigantine city, Atlantic County",2019,ACE,57385734,18553455,7636,625769,76572594,SJG,4002561,2251290,NULL,NULL,6253851,59
Brigantine city,Atlantic,"Brigantine city, Atlantic County",2020,ACE,57919246,16803520,5969,628998,75357733,SJG,3568762,2081999,NULL,NULL,5650761,59
Brigantine city,Atlantic,"Brigantine city, Atlantic County",2021,ACE,57323709,17456226,5108,624472,75409515,SJG,3952165,1998093,NULL,NULL,5950258,59
Brooklawn borough,Camden,"Brooklawn borough, Camden County",2015,PSEG,5705199,10777315,8571,190218,16681303,PSEG,468625,409199,3255,NULL,881078,60
Brooklawn borough,Camden,"Brooklawn borough, Camden County",2016,PSEG,5695864,10995552,21460,189291,16902167,PSEG,431237,377098,2987,NULL,811321,60
Brooklawn borough,Camden,"Brooklawn borough, Camden County",2017,PSEG,5404460,10565317,33660,185930,16189367,PSEG,431068,366929,3011,NULL,801008,60
Brooklawn borough,Camden,"Brooklawn borough, Camden County",2018,PSEG,5718784,10318205,28900,195493,16261382,PSEG,493974,401959,3912,NULL,899846,60
Brooklawn borough,Camden,"Brooklawn borough, Camden County",2019,PSEG,5480963,8340030,37420,178216,14036629,PSEG,479137,339179,3156,NULL,821472,60
Brooklawn borough,Camden,"Brooklawn borough, Camden County",2020,PSEG,5517468,8740991,36120,196474,14491053,PSEG,427997,295119,2720,NULL,725836,60
Brooklawn borough,Camden,"Brooklawn borough, Camden County",2021,PSEG,5542290,8643245,32180,194724,14412439,PSEG,451410,351487,3115,NULL,806011,60
Buena borough,Atlantic,"Buena borough, Atlantic County",2015,ACE,15399801,5116687,370726,210029,21097243,SJG,1179586,427246,145875,NULL,1752708,61
Buena borough,Atlantic,"Buena borough, Atlantic County",2016,ACE,14685681,5625135,400903,210029,20921748,SJG,1054097,368119,135524,NULL,1557741,61
Buena borough,Atlantic,"Buena borough, Atlantic County",2017,ACE,13620992,5001764,444115,210029,19276900,SJG,1022730,354645,173160,NULL,1550535,61
Buena borough,Atlantic,"Buena borough, Atlantic County",2018,ACE,25395314,16626244,14434995,220421,56676974,SJG,1229877,449328,300881,NULL,1980086,61
Buena borough,Atlantic,"Buena borough, Atlantic County",2019,ACE,24117902,15653394,14953190,220469,54944955,SJG,1160795,623908,209811,NULL,1994514,61
Buena borough,Atlantic,"Buena borough, Atlantic County",2020,ACE,13150015,3939744,424803,210029,17724591,SJG,1034123,568905,194561,NULL,1797588,61
Buena borough,Atlantic,"Buena borough, Atlantic County",2021,ACE,14244799,4508717,109797,210026,19073339,SJG,1173801,608890,202958,NULL,1985648,61
Buena Vista township,Atlantic,"Buena Vista township, Atlantic County",2015,ACE,38203619,18841986,13171753,269644,70487002,SJG,1316723,290849,130548,NULL,1738120,62
Buena Vista township,Atlantic,"Buena Vista township, Atlantic County",2016,ACE,35997827,17939857,12279541,274768,66491993,SJG,1163208,271370,115336,NULL,1549915,62
Buena Vista township,Atlantic,"Buena Vista township, Atlantic County",2017,ACE,32838715,17772092,13321367,160258,64092432,SJG,1137328,255952,104522,NULL,1497802,62
Buena Vista township,Atlantic,"Buena Vista township, Atlantic County",2018,ACE,24108185,8283798,3678302,142059,36212344,SJG,1409915,322670,199007,NULL,1931593,62
Buena Vista township,Atlantic,"Buena Vista township, Atlantic County",2019,ACE,22854566,7611769,5016332,142260,35624927,SJG,1330421,387572,116180,NULL,1834172,62
Buena Vista township,Atlantic,"Buena Vista township, Atlantic County",2020,ACE,33355594,18420660,20353280,152698,72282232,SJG,1252180,326897,101776,NULL,1680853,62
Buena Vista township,Atlantic,"Buena Vista township, Atlantic County",2021,ACE,33718307,20781420,16812020,152943,71464690,SJG,1346340,353563,84046,NULL,1783949,62
Burlington city,Burlington,"Burlington city, Burlington County",2015,PSEG,29667394,33675276,16209907,2047734,81600311,PSEG,2967185,1925707,32771,NULL,4925663,63
Burlington city,Burlington,"Burlington city, Burlington County",2016,PSEG,29069759,34978368,18728239,1998465,84774831,PSEG,2463705,1669747,27116,NULL,4160567,63
Burlington city,Burlington,"Burlington city, Burlington County",2017,PSEG,27631968,35444115,15826297,1938350,80840730,PSEG,2572904,1987537,28404,NULL,4588844,63
Burlington city,Burlington,"Burlington city, Burlington County",2018,PSEG,29872735,35557004,15939131,2053979,83422849,PSEG,2970857,1623068,36045,NULL,4629970,63
Burlington city,Burlington,"Burlington city, Burlington County",2019,PSEG,29046798,33991353,17316907,2051554,82406612,PSEG,2808930,1473678,31285,NULL,4313894,63
Burlington city,Burlington,"Burlington city, Burlington County",2020,PSEG,29894507,30156971,19106447,2069146,81227071,PSEG,2558025,1246587,28782,NULL,3833394,63
Burlington city,Burlington,"Burlington city, Burlington County",2021,PSEG,31722537,31626215,16453163,2053266,81855181,PSEG,2865180,1415058,34411,NULL,4314650,63
Burlington township,Burlington,"Burlington township, Burlington County",2015,PSEG,74964199,116434781,4485323,1186854,197071157,PSEG,6402371,8106316,12554291,NULL,27062978,64
Burlington township,Burlington,"Burlington township, Burlington County",2016,PSEG,74336017,111286084,4609909,1174016,191406026,PSEG,5258470,6848970,24066931,NULL,36174370,64
Burlington township,Burlington,"Burlington township, Burlington County",2017,PSEG,70149497,103421503,4431195,1167073,179169268,PSEG,5548862,8231478,9045646,NULL,22825986,64
Burlington township,Burlington,"Burlington township, Burlington County",2018,PSEG,72904856,106819157,4527743,1193089,185444845,PSEG,6432310,8200836,11956421,NULL,26589566,64
Burlington township,Burlington,"Burlington township, Burlington County",2019,PSEG,69358515,104265613,4329519,1267008,179220655,PSEG,6097124,8235758,9598239,NULL,23931121,64
Burlington township,Burlington,"Burlington township, Burlington County",2020,PSEG,71141020,94252137,4648904,1215815,171257876,PSEG,5607920,7650310,9270158,NULL,22528388,64
Burlington township,Burlington,"Burlington township, Burlington County",2021,PSEG,71057006,96881310,4639507,1220197,173798020,PSEG,6001329,8243497,10149034,NULL,24393860,64
Butler borough,Morris,"Butler borough, Morris County",2015,MEU/JCPL,8487,330160,1254375,NULL,1593022,PSEG,2763970,992254,205748,NULL,3961972,65
Butler borough,Morris,"Butler borough, Morris County",2016,MEU/JCPL,NULL,NULL,NULL,NULL,NULL,PSEG,2522532,872472,190328,NULL,3585333,65
Butler borough,Morris,"Butler borough, Morris County",2017,MEU/JCPL,NULL,NULL,NULL,NULL,NULL,PSEG,2545712,867999,262170,NULL,3675882,65
Butler borough,Morris,"Butler borough, Morris County",2018,MEU/JCPL,11125,232560,1006443,NULL,1250128,PSEG,2891258,1047600,221741,NULL,4160599,65
Butler borough,Morris,"Butler borough, Morris County",2019,MEU/JCPL,9725,240520,947265,NULL,1197510,PSEG,2819713,1041765,226984,NULL,4088461,65
Butler borough,Morris,"Butler borough, Morris County",2020,MEU/JCPL,12085,250080,911698,NULL,1173863,PSEG,2544946,877783,207009,NULL,3629738,65
Butler borough,Morris,"Butler borough, Morris County",2021,MEU/JCPL,11252,265360,1067004,NULL,1343616,PSEG,2659080,943879,233960,NULL,3836918,65
Byram township,Sussex,"Byram township, Sussex County",2015,JCPL,36589648,14107739,410693,101964,51210044,ETG,NULL,NULL,NULL,NULL,0,66
Byram township,Sussex,"Byram township, Sussex County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,NULL,NULL,NULL,NULL,0,66
Byram township,Sussex,"Byram township, Sussex County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,NULL,NULL,NULL,NULL,0,66
Byram township,Sussex,"Byram township, Sussex County",2018,JCPL,36610156,13924932,338633,101964,50975685,ETG,NULL,NULL,NULL,NULL,0,66
Byram township,Sussex,"Byram township, Sussex County",2019,JCPL,35020092,13707355,334744,101964,49164155,ETG,NULL,NULL,NULL,NULL,0,66
Byram township,Sussex,"Byram township, Sussex County",2020,JCPL,35964148,12575684,320081,101964,48961877,ETG,NULL,NULL,NULL,NULL,0,66
Byram township,Sussex,"Byram township, Sussex County",2021,JCPL,37156689,12447352,329830,101964,50035835,ETG,NULL,NULL,NULL,NULL,0,66
Caldwell borough,Essex,"Caldwell borough, Essex County",2015,PSEG,21956248,25806025,98666,580774,48441713,PSEG,2528116,1984762,10141,NULL,4523020,67
Caldwell borough,Essex,"Caldwell borough, Essex County",2016,PSEG,21847681,25084018,77197,605814,47614710,PSEG,2306442,1871966,9037,NULL,4187445,67
Caldwell borough,Essex,"Caldwell borough, Essex County",2017,PSEG,20871104,24364626,106558,608131,45950419,PSEG,2332447,1901946,8769,NULL,4243162,67
Caldwell borough,Essex,"Caldwell borough, Essex County",2018,PSEG,21992380,24761904,102182,604971,47461437,PSEG,2572473,2050875,9686,NULL,4633034,67
Caldwell borough,Essex,"Caldwell borough, Essex County",2019,PSEG,20927807,24170903,104328,565914,45768952,PSEG,2498837,2020150,9218,NULL,4528205,67
Caldwell borough,Essex,"Caldwell borough, Essex County",2020,PSEG,22066922,21956811,76891,612647,44713271,PSEG,2266946,1772979,9016,NULL,4048941,67
Caldwell borough,Essex,"Caldwell borough, Essex County",2021,PSEG,21918098,22583312,77419,612817,45191646,PSEG,2316819,1839202,8414,NULL,4164435,67
Califon borough,Hunterdon,"Califon borough, Hunterdon County",2015,JCPL,4694265,4269604,99152,44520,9107541,ETG,145285,92838,NULL,NULL,238124,68
Califon borough,Hunterdon,"Califon borough, Hunterdon County",2016,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,151496,99893,NULL,NULL,251389,68
Califon borough,Hunterdon,"Califon borough, Hunterdon County",2017,JCPL,NULL,NULL,NULL,NULL,NULL,ETG,159458,110953,NULL,NULL,270412,68
Califon borough,Hunterdon,"Califon borough, Hunterdon County",2018,JCPL,4809432,3986515,104968,44520,8945435,ETG,182249,158980,NULL,NULL,341228,68
Califon borough,Hunterdon,"Califon borough, Hunterdon County",2019,JCPL,4624396,3946486,102942,44520,8718344,ETG,174233,157900,NULL,NULL,332133,68
Califon borough,Hunterdon,"Califon borough, Hunterdon County",2020,JCPL,4739121,3651784,76971,44520,8512396,ETG,271103,197900,NULL,NULL,469002,68
Califon borough,Hunterdon,"Califon borough, Hunterdon County",2021,JCPL,4881682,3670333,70552,44520,8667087,ETG,348950,232555,NULL,NULL,581505,68
Camden city,Camden,"Camden city, Camden County",2015,PSEG,155789502,375229230,107371476,11106430,649496638,PSEG,17270701,40868420,6784570,NULL,64923692,69
Camden city,Camden,"Camden city, Camden County",2016,PSEG,157528296,370228907,111665622,11093858,650516683,PSEG,15762576,41373260,5254020,NULL,62389857,69
Camden city,Camden,"Camden city, Camden County",2017,PSEG,159547230,371190630,121898929,10728399,663365188,PSEG,16555321,20955805,5079758,NULL,42590884,69
Camden city,Camden,"Camden city, Camden County",2018,PSEG,160497124,382949272,122200569,11185497,676832462,PSEG,17020016,17318211,11762304,NULL,46100530,69
Camden city,Camden,"Camden city, Camden County",2019,PSEG,156647964,377175139,120373149,11064762,665261014,PSEG,15667915,17733536,12442563,NULL,45844013,69
Camden city,Camden,"Camden city, Camden County",2020,PSEG,162633958,350573599,95150732,11048319,619406608,PSEG,14285494,18370254,15544824,NULL,48200572,69
Camden city,Camden,"Camden city, Camden County",2021,PSEG,170849691,342239023,90031702,11289288,614409704,PSEG,15349246,19596697,12786486,NULL,47732429,69
Cape May City,Cape May,"Cape May City, Cape May County",2015,ACE,32753952,46120663,3333831,383770,82592216,SJG,1888078,1345343,NULL,NULL,3233421,70
Cape May City,Cape May,"Cape May City, Cape May County",2016,ACE,31474903,44687041,3260657,383248,79805849,SJG,1507332,1213478,NULL,NULL,2720810,70
Cape May City,Cape May,"Cape May City, Cape May County",2017,ACE,29672586,44597428,222364,388688,74881066,SJG,1550916,1235100,NULL,NULL,2786016,70
Cape May City,Cape May,"Cape May City, Cape May County",2018,ACE,33264143,47529454,3609426,388692,84791715,SJG,1973667,1358280,NULL,NULL,3331948,70
Cape May City,Cape May,"Cape May City, Cape May County",2019,ACE,31041878,45920475,3206441,388676,80557470,SJG,1674251,1264095,NULL,NULL,2938346,70
